"pca_id","pca_description","product_family","business_unit","technology_group"
"73-9890-01","PCA,CONST2,PLUTO_SCRUZ_CR,SUP720 BASEBOARD","","",""
"73-9323-03","INTERPOSER_HAILU","C6000","EBBU","ENGTG"
"73-13406-01","PCA,MBRD,BOURBON ST","","",""
"73-1574-01E1","PCA,SUB,PA,DS3,RHINO","","",""
"73-100860-01","PCA,MBRD,SMIRNOFF-CR.STOLI12PXxGE,POE+,UPLINKS 2x1G/2SFP+","","",""
"73-100859-01","PCA,MBRD,SMIRNOFF-CR,STOLI 8xGE POE+,UPLINKS 2x1G/2SFP","","",""
"73-100863-01","PCA,MBRD,SMIRNOFF-CR,STOLI 12xGE,UPLINKS 2x1G/2SFP","","",""
"73-100862-01","PCA,MBRD,SMIRNOFF-CR,STOLI 8xGE POE+ 2K,UPLINKS 2x1G/2SFP","","",""
"73-100858-01","PCA,MBRD,SMIRNOFF-CR,STOLI,8xGE,UPLINKS 2x1G/2SFP","","",""
"73-100861-01","PCA,MBRD,SMIRNOFF-CR,STOLI,8xGE,2K,UPLINKS 2x1G/2SFP","","",""
"73-100865-01","PCA,MBRD,SMIRNOFF-CR,BELVEDERE,PD/PSE,8xGE POE+,UPOE PD UNLINK 2x1G","","",""
"73-100864-01","PCA,MBRD,SMIRNOFF-CR,STOLI 12xGE POE+,UPLINKS 2x1G/2SFP","","",""
"73-100866-01","PCA,MBRD,SMIRNOFF-CR,GREEN APPLE,4 mG+4xGE,UPLINKS 2mG/SFP+","","",""
"73-16210-01","PCA,MBRD,Beamish48 Pb-free,PANDA","","",""
"73-16208-01","PCA,MBRD,MURPHYS 48FULLPOE,Pb FREE,PANDA","","",""
"73-7472-01","PCA, SUB, OTBU, CXC, AIP MODULE","","",""
"73-205600","PCA,SUB,QED8700","","",""
"73-7441-01","PCA,CSM-3, SCCFC, 12GE","","",""
"73-1642-02E22","PCA,SUB,ISP2,128MB,L2020","","",""
"73-7226-01","PCA,PS AC 8110","","",""
"73-7216-01","PCA, SUB, WR15600, CXC REFERENCE DESIGN","","",""
"73-7243-02","PCA, SI_Solder_TV, HFR","","",""
"73-7240-01","PCA,EPCOTT,TEST BOARD","","",""
"73-7261-01","PCA,15454,4 PORT OC3,LP","","",""
"73-7246-01","PCA,2 PORT GIGABIT ETHERNET MODULE","CSS","ECBU","CTG"
"73-7256-01","PCA, 8X VDSL VTU-O (BRCM) MOTHER BOARD","","",""
"73-7255-01","PCA,HANGTEN","","",""
"73-7179-0151","PCA,BSC-4OC3,DC","","",""
"73-7170-0152","PCA,SCC-5G-1GE,DC","","",""
"73-7200-01","PCA, 15454, OC48-LR-1550, LP","","",""
"73-7189-01","PCA,MEGAPHONE MAIN","","",""
"73-7208-01","PCA,AWG IDPROM","15540","CORBU","CTG"
"73-7203-02","PCA,SUB,RJ48-8T1 LM","","",""
"73-7222-02","PCA,BACKPLANE,FERMI","","",""
"73-7212-01","PCA,DUAL PHASE 40A,VEGAS","","",""
"73-7447-02","PCA, HDD DC, KOMODO+","","",""
"73-7660-01","PCA, SSL DC, SIMPSON, CONST+","","",""
"73-7712-01","PCA,Taz cost_reduction, Cisco7401ASR","","",""
"73-7080-01","PCA,PCA VCC B1 10Gb (P)","","",""
"73-7079-01","PCA,SRX-RF_PATCH","","",""
"73-7108-02","PCA,CEAD 3640 PCI ADAPTER","","",""
"73-7110-0152","PCA,SRC,DC","","",""
"73-7059-01","PCA,FrodoFiber","","",""
"73-7078-01","PCA,OC12/STM4-SM-SR-4,PM,RINGSTAR8000","","",""
