Date	Year	Month	HomeTeam	AwayTeam	Matches	FTResult	HTResult	FTHomeGoals	FTAwayGoals	HTHomeGoals	HTAwayGoals	HomeWins	HomeLosses	AwayWins	AwayLosses	Draws
18/08/12	2012	08	Arsenal	Sunderland	1	D	D	0	0	0	0	0	0	0	0	1
18/08/12	2012	08	Fulham	Norwich	1	H	H	5	0	2	0	1	0	0	1	0
18/08/12	2012	08	Newcastle	Tottenham	1	H	D	2	1	0	0	1	0	0	1	0
18/08/12	2012	08	QPR	Swansea	1	A	A	0	5	0	1	0	1	1	0	0
18/08/12	2012	08	Reading	Stoke	1	D	A	1	1	0	1	0	0	0	0	1
18/08/12	2012	08	West Brom	Liverpool	1	H	H	3	0	1	0	1	0	0	1	0
18/08/12	2012	08	West Ham	Aston Villa	1	H	H	1	0	1	0	1	0	0	1	0
19/08/12	2012	08	Man City	Southampton	1	H	H	3	2	1	0	1	0	0	1	0
19/08/12	2012	08	Wigan	Chelsea	1	A	A	0	2	0	2	0	1	1	0	0
20/08/12	2012	08	Everton	Man United	1	H	D	1	0	0	0	1	0	0	1	0
22/08/12	2012	08	Chelsea	Reading	1	H	A	4	2	1	2	1	0	0	1	0
25/08/12	2012	08	Aston Villa	Everton	1	A	A	1	3	0	3	0	1	1	0	0
25/08/12	2012	08	Chelsea	Newcastle	1	H	H	2	0	2	0	1	0	0	1	0
25/08/12	2012	08	Man United	Fulham	1	H	H	3	2	3	1	1	0	0	1	0
25/08/12	2012	08	Norwich	QPR	1	D	D	1	1	1	1	0	0	0	0	1
25/08/12	2012	08	Southampton	Wigan	1	A	D	0	2	0	0	0	1	1	0	0
25/08/12	2012	08	Swansea	West Ham	1	H	H	3	0	2	0	1	0	0	1	0
25/08/12	2012	08	Tottenham	West Brom	1	D	D	1	1	0	0	0	0	0	0	1
26/08/12	2012	08	Liverpool	Man City	1	D	H	2	2	1	0	0	0	0	0	1
26/08/12	2012	08	Stoke	Arsenal	1	D	D	0	0	0	0	0	0	0	0	1
01/09/12	2012	09	Man City	QPR	1	H	H	3	1	1	0	1	0	0	1	0
01/09/12	2012	09	Swansea	Sunderland	1	D	A	2	2	1	2	0	0	0	0	1
01/09/12	2012	09	Tottenham	Norwich	1	D	D	1	1	0	0	0	0	0	0	1
01/09/12	2012	09	West Brom	Everton	1	H	D	2	0	0	0	1	0	0	1	0
01/09/12	2012	09	West Ham	Fulham	1	H	H	3	0	3	0	1	0	0	1	0
01/09/12	2012	09	Wigan	Stoke	1	D	D	2	2	1	1	0	0	0	0	1
02/09/12	2012	09	Liverpool	Arsenal	1	A	A	0	2	0	1	0	1	1	0	0
02/09/12	2012	09	Newcastle	Aston Villa	1	D	A	1	1	0	1	0	0	0	0	1
02/09/12	2012	09	Southampton	Man United	1	A	D	2	3	1	1	0	1	1	0	0
15/09/12	2012	09	Arsenal	Southampton	1	H	H	6	1	4	1	1	0	0	1	0
15/09/12	2012	09	Aston Villa	Swansea	1	H	H	2	0	1	0	1	0	0	1	0
15/09/12	2012	09	Fulham	West Brom	1	H	H	3	0	2	0	1	0	0	1	0
15/09/12	2012	09	Man United	Wigan	1	H	D	4	0	0	0	1	0	0	1	0
15/09/12	2012	09	Norwich	West Ham	1	D	D	0	0	0	0	0	0	0	0	1
15/09/12	2012	09	QPR	Chelsea	1	D	D	0	0	0	0	0	0	0	0	1
15/09/12	2012	09	Stoke	Man City	1	D	D	1	1	1	1	0	0	0	0	1
15/09/12	2012	09	Sunderland	Liverpool	1	D	H	1	1	1	0	0	0	0	0	1
16/09/12	2012	09	Reading	Tottenham	1	A	A	1	3	0	1	0	1	1	0	0
17/09/12	2012	09	Everton	Newcastle	1	D	H	2	2	1	0	0	0	0	0	1
22/09/12	2012	09	Chelsea	Stoke	1	H	D	1	0	0	0	1	0	0	1	0
22/09/12	2012	09	Southampton	Aston Villa	1	H	A	4	1	0	1	1	0	0	1	0
22/09/12	2012	09	Swansea	Everton	1	A	A	0	3	0	2	0	1	1	0	0
22/09/12	2012	09	West Brom	Reading	1	H	D	1	0	0	0	1	0	0	1	0
22/09/12	2012	09	West Ham	Sunderland	1	D	A	1	1	0	1	0	0	0	0	1
22/09/12	2012	09	Wigan	Fulham	1	A	A	1	2	0	1	0	1	1	0	0
23/09/12	2012	09	Liverpool	Man United	1	A	D	1	2	0	0	0	1	1	0	0
23/09/12	2012	09	Man City	Arsenal	1	D	H	1	1	1	0	0	0	0	0	1
23/09/12	2012	09	Newcastle	Norwich	1	H	H	1	0	1	0	1	0	0	1	0
23/09/12	2012	09	Tottenham	QPR	1	H	A	2	1	0	1	1	0	0	1	0
29/09/12	2012	09	Arsenal	Chelsea	1	A	D	1	2	1	1	0	1	1	0	0
29/09/12	2012	09	Everton	Southampton	1	H	H	3	1	3	1	1	0	0	1	0
29/09/12	2012	09	Fulham	Man City	1	A	D	1	2	1	1	0	1	1	0	0
29/09/12	2012	09	Man United	Tottenham	1	A	A	2	3	0	2	0	1	1	0	0
29/09/12	2012	09	Norwich	Liverpool	1	A	A	2	5	0	2	0	1	1	0	0
29/09/12	2012	09	Reading	Newcastle	1	D	D	2	2	0	0	0	0	0	0	1
29/09/12	2012	09	Stoke	Swansea	1	H	H	2	0	2	0	1	0	0	1	0
29/09/12	2012	09	Sunderland	Wigan	1	H	D	1	0	0	0	1	0	0	1	0
30/09/12	2012	09	Aston Villa	West Brom	1	D	D	1	1	0	0	0	0	0	0	1
01/10/12	2012	10	QPR	West Ham	1	A	A	1	2	0	2	0	1	1	0	0
06/10/12	2012	10	Chelsea	Norwich	1	H	H	4	1	3	1	1	0	0	1	0
06/10/12	2012	10	Man City	Sunderland	1	H	H	3	0	1	0	1	0	0	1	0
06/10/12	2012	10	Swansea	Reading	1	D	A	2	2	0	2	0	0	0	0	1
06/10/12	2012	10	West Brom	QPR	1	H	H	3	2	2	1	1	0	0	1	0
06/10/12	2012	10	West Ham	Arsenal	1	A	D	1	3	1	1	0	1	1	0	0
06/10/12	2012	10	Wigan	Everton	1	D	H	2	2	2	1	0	0	0	0	1
07/10/12	2012	10	Liverpool	Stoke	1	D	D	0	0	0	0	0	0	0	0	1
07/10/12	2012	10	Newcastle	Man United	1	A	A	0	3	0	2	0	1	1	0	0
07/10/12	2012	10	Southampton	Fulham	1	D	H	2	2	1	0	0	0	0	0	1
07/10/12	2012	10	Tottenham	Aston Villa	1	H	D	2	0	0	0	1	0	0	1	0
20/10/12	2012	10	Fulham	Aston Villa	1	H	D	1	0	0	0	1	0	0	1	0
20/10/12	2012	10	Liverpool	Reading	1	H	H	1	0	1	0	1	0	0	1	0
20/10/12	2012	10	Man United	Stoke	1	H	H	4	2	2	1	1	0	0	1	0
20/10/12	2012	10	Norwich	Arsenal	1	H	H	1	0	1	0	1	0	0	1	0
20/10/12	2012	10	Swansea	Wigan	1	H	D	2	1	0	0	1	0	0	1	0
20/10/12	2012	10	Tottenham	Chelsea	1	A	A	2	4	0	1	0	1	1	0	0
20/10/12	2012	10	West Brom	Man City	1	A	D	1	2	0	0	0	1	1	0	0
20/10/12	2012	10	West Ham	Southampton	1	H	D	4	1	0	0	1	0	0	1	0
21/10/12	2012	10	QPR	Everton	1	D	D	1	1	1	1	0	0	0	0	1
21/10/12	2012	10	Sunderland	Newcastle	1	D	A	1	1	0	1	0	0	0	0	1
27/10/12	2012	10	Arsenal	QPR	1	H	D	1	0	0	0	1	0	0	1	0
27/10/12	2012	10	Aston Villa	Norwich	1	D	H	1	1	1	0	0	0	0	0	1
27/10/12	2012	10	Man City	Swansea	1	H	D	1	0	0	0	1	0	0	1	0
27/10/12	2012	10	Reading	Fulham	1	D	H	3	3	1	0	0	0	0	0	1
27/10/12	2012	10	Stoke	Sunderland	1	D	D	0	0	0	0	0	0	0	0	1
27/10/12	2012	10	Wigan	West Ham	1	H	H	2	1	1	0	1	0	0	1	0
28/10/12	2012	10	Chelsea	Man United	1	A	A	2	3	1	2	0	1	1	0	0
28/10/12	2012	10	Everton	Liverpool	1	D	D	2	2	2	2	0	0	0	0	1
28/10/12	2012	10	Newcastle	West Brom	1	H	H	2	1	1	0	1	0	0	1	0
28/10/12	2012	10	Southampton	Tottenham	1	A	A	1	2	0	2	0	1	1	0	0
03/11/12	2012	11	Fulham	Everton	1	D	H	2	2	1	0	0	0	0	0	1
03/11/12	2012	11	Man United	Arsenal	1	H	H	2	1	1	0	1	0	0	1	0
03/11/12	2012	11	Norwich	Stoke	1	H	H	1	0	1	0	1	0	0	1	0
03/11/12	2012	11	Sunderland	Aston Villa	1	A	D	0	1	0	0	0	1	1	0	0
03/11/12	2012	11	Swansea	Chelsea	1	D	D	1	1	0	0	0	0	0	0	1
03/11/12	2012	11	Tottenham	Wigan	1	A	D	0	1	0	0	0	1	1	0	0
03/11/12	2012	11	West Ham	Man City	1	D	D	0	0	0	0	0	0	0	0	1
04/11/12	2012	11	Liverpool	Newcastle	1	D	A	1	1	0	1	0	0	0	0	1
04/11/12	2012	11	QPR	Reading	1	D	A	1	1	0	1	0	0	0	0	1
05/11/12	2012	11	West Brom	Southampton	1	H	H	2	0	1	0	1	0	0	1	0
10/11/12	2012	11	Arsenal	Fulham	1	D	D	3	3	2	2	0	0	0	0	1
10/11/12	2012	11	Aston Villa	Man United	1	A	H	2	3	1	0	0	1	1	0	0
10/11/12	2012	11	Everton	Sunderland	1	H	A	2	1	0	1	1	0	0	1	0
10/11/12	2012	11	Reading	Norwich	1	D	D	0	0	0	0	0	0	0	0	1
10/11/12	2012	11	Southampton	Swansea	1	D	D	1	1	0	0	0	0	0	0	1
10/11/12	2012	11	Stoke	QPR	1	H	D	1	0	0	0	1	0	0	1	0
10/11/12	2012	11	Wigan	West Brom	1	A	A	1	2	1	2	0	1	1	0	0
11/11/12	2012	11	Chelsea	Liverpool	1	D	H	1	1	1	0	0	0	0	0	1
11/11/12	2012	11	Man City	Tottenham	1	H	A	2	1	0	1	1	0	0	1	0
11/11/12	2012	11	Newcastle	West Ham	1	A	A	0	1	0	1	0	1	1	0	0
17/11/12	2012	11	Arsenal	Tottenham	1	H	H	5	2	3	1	1	0	0	1	0
17/11/12	2012	11	Liverpool	Wigan	1	H	D	3	0	0	0	1	0	0	1	0
17/11/12	2012	11	Man City	Aston Villa	1	H	H	5	0	1	0	1	0	0	1	0
17/11/12	2012	11	Newcastle	Swansea	1	A	D	1	2	0	0	0	1	1	0	0
17/11/12	2012	11	Norwich	Man United	1	H	D	1	0	0	0	1	0	0	1	0
17/11/12	2012	11	QPR	Southampton	1	A	A	1	3	0	2	0	1	1	0	0
17/11/12	2012	11	Reading	Everton	1	H	A	2	1	0	1	1	0	0	1	0
17/11/12	2012	11	West Brom	Chelsea	1	H	D	2	1	1	1	1	0	0	1	0
18/11/12	2012	11	Fulham	Sunderland	1	A	D	1	3	0	0	0	1	1	0	0
19/11/12	2012	11	West Ham	Stoke	1	D	A	1	1	0	1	0	0	0	0	1
