Year;Quarter;Month;Hour;Category;Sales;Cost
2007;Q4 2007;Dec 2007;21:00;budget;30.0;9.2
2006;Q1 2006;Jan 2006;07:00;budget;442.99;0.0
2007;Q3 2007;Jul 2007;18:00;pop/rock;735512.1400000631;393352.8299999988
2007;Q1 2007;Jan 2007;16:00;pop/rock;1246448.1499999969;745860.7999999915
2007;Q3 2007;Sep 2007;15:00;pop/rock;783174.1700000797;413055.6499999911
2007;Q1 2007;Jan 2007;18:00;pop/rock;825294.8300000773;489530.73000000214
2007;Q1 2007;Mar 2007;14:00;pop/rock;960020.3100000932;516916.4200000021
2007;Q2 2007;Jun 2007;15:00;pop/rock;1050916.950000104;567978.1699999983
2007;Q1 2007;Mar 2007;09:00;pop/rock;94306.81999999934;50465.239999999845
2007;Q1 2007;Mar 2007;18:00;pop/rock;658227.9800000512;354861.4400000056
2007;Q1 2007;Mar 2007;11:00;pop/rock;661452.440000051;354072.320000005
2007;Q1 2007;Jan 2007;12:00;pop/rock;1030056.750000106;596891.2199999989
2006;Q4 2006;Dec 2006;17:00;pop/rock;3511237.1199986846;1880389.3099999195
2006;Q4 2006;Dec 2006;18:00;pop/rock;2799987.709999102;1496649.629999989
2006;Q4 2006;Oct 2006;13:00;pop/rock;1222416.1800000013;673899.1999999804
2006;Q4 2006;Oct 2006;14:00;pop/rock;1232428.069999996;679295.7799999805
2006;Q4 2006;Oct 2006;16:00;pop/rock;1198867.7600000177;664029.6399999785
2006;Q4 2006;Oct 2006;17:00;pop/rock;1074872.5500000957;591153.2399999797
2006;Q4 2006;Nov 2006;19:00;pop/rock;777391.2700000678;422078.1500000087
2006;Q4 2006;Oct 2006;12:00;pop/rock;1032176.8100001065;567766.4299999846
2006;Q4 2006;Oct 2006;18:00;pop/rock;838185.0100000807;463812.290000012
2006;Q4 2006;Dec 2006;12:00;pop/rock;3916543.349998421;2027839.5999999004
2006;Q3 2006;Jul 2006;14:00;pop/rock;1810492.839999669;986442.9699999711
2006;Q4 2006;Dec 2006;10:00;pop/rock;1932389.5399996086;1028924.3299999789
2006;Q3 2006;Aug 2006;20:00;pop/rock;240084.22999999445;127578.77000000021
2006;Q3 2006;Aug 2006;14:00;pop/rock;1330740.6899999497;712350.5899999723
2006;Q3 2006;Aug 2006;19:00;pop/rock;747735.3200000657;405168.4400000057
2006;Q3 2006;Aug 2006;16:00;pop/rock;1240461.1899999974;652999.9199999763
2006;Q4 2006;Dec 2006;16:00;pop/rock;4091969.5299983346;2196032.049999931
2006;Q4 2006;Oct 2006;22:00;pop/rock;39681.640000000174;21569.459999999995
