"BOKFØRINGSDATO";"RENTEDATO";"ARKIVREFERANSE";"TYPE";"TEKST";"UT FRA KONTO";"INN PÅ KONTO";
"2013-12-20";"2013-12-20";"17017911151";"Varekjøp";"19.12 MENY CC VEST LILLEAKERVN  OSLO";192.16;;
"2013-12-20";"2013-12-20";"91360177";"Overføring";"TIL KREDITTKORTKONTO";10000.00;;
"2013-12-20";"2013-12-20";"17017447915";"Varekjøp";"20.12 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";65.00;;
"2013-12-20";"2013-12-20";"50975006863";"Lønn";"Lonn fra CISCO SYSTEMS NORWAY AS";;48967.16;
"2013-12-20";"2013-12-20";"17017273712";"Varekjøp";"20.12 SHELL 7-ELEVEN  ULLERNCHAUSS OSLO";460.02;;
"2013-12-20";"2013-12-20";"17017853650";"Varekjøp";"20.12 IKEA SLEPENDEN  NESBRUVN. 40 BILLINGSTAD";158.00;;
"2013-12-20";"2013-12-20";"91520950";"Overføring";"Mobilbank";10700.00;;
"2013-12-20";"2013-12-20";"91520904";"Overføring";"Mobilbank";20000.00;;
"2013-12-19";"2013-12-19";"50001685147";"Visa";"*9469 17.12 NOK 30.00 Ruter billett Kurs: 1.0000";30.00;;
"2013-12-19";"2013-12-19";"17017732158";"Varekjøp";"19.12 TEKNIKMAGASINET SANDVIKSVN.  SANDVIKA";399.90;;
"2013-12-19";"2013-12-19";"17017221863";"Varekjøp";"19.12 STOCKFLETH3 SAN BRODTKORBSGT SANDVIKA";32.00;;
"2013-12-19";"2013-12-19";"50001685147";"Visa";"*9469 17.12 NOK 30.00 Ruter billett Kurs: 1.0000";30.00;;
"2013-12-19";"2013-12-19";"50001685147";"Visa";"*9469 17.12 NOK 30.00 Ruter billett Kurs: 1.0000";30.00;;
"2013-12-19";"2013-12-19";"17017880832";"Varekjøp";"19.12 667 ULTRA BRODKORBSGT. SANDVIKA";3.98;;
"2013-12-19";"2013-12-19";"17017437394";"Varekjøp";"19.12 TEKNIKMAGASINET SANDVIKSVN.  SANDVIKA";119.90;;
"2013-12-19";"2013-12-19";"17017566353";"Varekjøp";"19.12 667 ULTRA BRODKORBSGT. SANDVIKA";16.90;;
"2013-12-18";"2013-12-18";"17017994373";"Varekjøp";"17.12 KIWI 410 LILLEA LILLEAKERVN. OSLO";354.70;;
"2013-12-18";"2013-12-18";"17017831582";"Varekjøp";"18.12 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-12-18";"2013-12-18";"17017920531";"Varekjøp";"17.12 MENY CC VEST LILLEAKERVN  OSLO";155.68;;
"2013-12-18";"2013-12-18";"17017100807";"Varekjøp";"17.12 Matkroken Grens en Oslo";25.89;;
"2013-12-17";"2013-12-17";"17017811105";"Varekjøp";"16.12 BABY SWIM TJEN. ARNEBRÅTVN.  OSLO";5.00;;
"2013-12-17";"2013-12-17";"17017902508";"Varekjøp";"17.12 STOCKFLETHS KARL JOHANSG OSLO";32.00;;
"2013-12-17";"2013-12-17";"50001685147";"Visa";"*9469 14.12 NOK 30.00 Ruter billett Kurs: 1.0000";30.00;;
"2013-12-17";"2013-12-17";"50001685147";"Visa";"*9469 14.12 NOK 30.00 Ruter billett Kurs: 1.0000";30.00;;
"2013-12-16";"2013-12-16";"50001685147";"Visa";"*9469 12.12 NOK 79.00 APPLE ITUNES STORE-NOK Kurs: 1.0000";79.00;;
"2013-12-16";"2013-12-16";"91360379";"Overføring";"Til aksjedepot 1715175";500.00;;
